speaker,start_time_row,date,,,,,start_time,text
President Donal...:,5:34,9/29/20,5,34,0:05:34,0:04:14,0:04:14,"Thank you, Joe."
Vice President ...:,5:36,9/29/20,5,36,0:05:36,0:04:16,0:04:16,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They're not going to get that chance now because we're in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that's the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.
Vice President ...:,6:12,9/29/20,6,12,0:06:12,0:04:52,0:04:52,"Now, what's at stake here is the President's made it clear, he wants to get rid of the Affordable Care Act. He's been running on that, he ran on that and he's been governing on that. He's in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I'm not opposed to the justice, she seems like a very fine person. But she's written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that's on the court, and if it's struck down, what happens? Women's rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They're able to charge women more for the same exact procedure a man gets."
Vice President ...:,7:08,9/29/20,7,8,0:07:08,0:05:48,0:05:48,"And that ended when we, in fact, passed the Affordable Care Act, and there's a hundred million people who have pre-existing conditions and they'll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it's just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February."
President Donal...:,7:34,9/29/20,7,34,0:07:34,0:06:14,0:06:14,"There aren't a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We're not elected for three years. I'm not elected for three years. So we have the Senate, we have a President-"
Vice President ...:,8:01,9/29/20,8,1,0:08:01,0:06:41,0:06:41,He's elected to the next election.
President Donal...:,8:02,9/29/20,8,2,0:08:02,0:06:42,0:06:42,"During that period of time, during that period of time, we have an opening. I'm not elected for three years. I'm elected for four years. Joe, the hundred million people is totally wrong. I don't know where you got that number. The bigger problem that you have is that you're going to extinguish 180 million people with their private health care, that they're very happy this."
Vice President ...:,8:24,9/29/20,8,24,0:08:24,0:07:04,0:07:04,That's simply not true.
President Donal...:,8:25,9/29/20,8,25,0:08:25,0:07:05,0:07:05,"Well, you're certainly going to socialist. You're going to socialist-"
Chris Wallace:,8:29,9/29/20,8,29,0:08:29,0:07:09,0:07:09,"Gentlemen, we're now into open discussion."
Vice President ...:,8:31,9/29/20,8,31,0:08:31,0:07:11,0:07:11,Open discussion.
Chris Wallace:,8:32,9/29/20,8,32,0:08:32,0:07:12,0:07:12,"Open discussion, yes, I agree. Go ahead, Vice President."
Vice President ...:,8:33,9/29/20,8,33,0:08:33,0:07:13,0:07:13,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal."
President Donal...:,8:58,9/29/20,8,58,0:08:58,0:07:38,0:07:38,That's not what you've said and it's not what your party is saying.
Vice President ...:,9:00,9/29/20,9,0,0:09:00,0:07:40,0:07:40,That is simply a lie.
President Donal...:,9:02,9/29/20,9,2,0:09:02,0:07:42,0:07:42,Your party doesn't say it. Your party wants to go socialist medicine and socialist healthcare.
Vice President ...:,9:05,9/29/20,9,5,0:09:05,0:07:45,0:07:45,"The party is me. Right now, I am the Democratic Party."
President Donal...:,9:08,9/29/20,9,8,0:09:08,0:07:48,0:07:48,"And they're going to dominate you, Joe. You know that."
Vice President ...:,9:09,9/29/20,9,9,0:09:09,0:07:49,0:07:49,I am the Democratic Party right now.
President Donal...:,9:11,9/29/20,9,11,0:09:11,0:07:51,0:07:51,Not according to Harris.
Vice President ...:,9:12,9/29/20,9,12,0:09:12,0:07:52,0:07:52,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here's the deal. The deal is that it's going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there's seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?"
President Donal...:,9:39,9/29/20,9,39,0:09:39,0:08:19,0:08:19,"Joe, you've had 308,000 military people dying because you couldn't provide them proper healthcare in the military. So don't tell me about this."
Vice President ...:,9:47,9/29/20,9,47,0:09:47,0:08:27,0:08:27,I'm happy to talk about this.
President Donal...:,9:48,9/29/20,9,48,0:09:48,0:08:28,0:08:28,"And if you were here, it wouldn't be 200, it would be two million people because you were very late on the draw. You didn't want me to ban China, which was heavily infected. You didn't want me to ban Europe."
Chris Wallace:,9:58,9/29/20,9,58,0:09:58,0:08:38,0:08:38,"All right, gentlemen, Mr. President."
President Donal...:,10:00,9/29/20,10,0,0:10:00,0:08:40,0:08:40,"You would have been much later, Joe, much later."
Chris Wallace:,10:04,9/29/20,10,4,0:10:04,0:08:44,0:08:44,Mr. President.
President Donal...:,10:04,9/29/20,10,4,0:10:04,0:08:44,0:08:44,We're talking about two million people.
Vice President ...:,10:05,9/29/20,10,5,0:10:05,0:08:45,0:08:45,You're not going to be able to shut him up.
Chris Wallace:,10:06,9/29/20,10,6,0:10:06,0:08:46,0:08:46,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead."
Vice President ...:,10:11,9/29/20,10,11,0:10:11,0:08:51,0:08:51,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That's on the ballot as well and the court, in the court, and so that's also at stake right now. And so the election is all-"
President Donal...:,10:25,9/29/20,10,25,0:10:25,0:09:05,0:09:05,You don't know what's on the ballot. Why is it on the ballot? Why is it on the ballot? It's not on the ballot.
Vice President ...:,10:31,9/29/20,10,31,0:10:31,0:09:11,0:09:11,It's on the ballot in the court.
President Donal...:,10:32,9/29/20,10,32,0:10:32,0:09:12,0:09:12,I don't think so.
Vice President ...:,10:33,9/29/20,10,33,0:10:33,0:09:13,0:09:13,In the court.
President Donal...:,10:34,9/29/20,10,34,0:10:34,0:09:14,0:09:14,There's nothing happening there.
Vice President ...:,10:35,9/29/20,10,35,0:10:35,0:09:15,0:09:15,Donald would you just be quiet for a minute.
President Donal...:,10:36,9/29/20,10,36,0:10:36,0:09:16,0:09:16,You don't know her view on Roe V. Wade? You don't know here view.
Chris Wallace:,10:40,9/29/20,10,40,0:10:40,0:09:20,0:09:20,"Well, all right. All right. Let's talk. We've got a lot to unpack here, gentlemen. We've got a lot of time. On healthcare, and then we'll come back to Roe V. Wade."
Vice President ...:,10:51,9/29/20,10,51,0:10:51,0:09:31,0:09:31,All right.
Chris Wallace:,10:51,9/29/20,10,51,0:10:51,0:09:31,0:09:31,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare."
President Donal...:,11:05,9/29/20,11,5,0:11:05,0:09:45,0:09:45,That's right.
Chris Wallace:,11:05,9/29/20,11,5,0:11:05,0:09:45,0:09:45,You have spent the last week-
President Donal...:,11:07,9/29/20,11,7,0:11:07,0:09:47,0:09:47,Because they want to give good healthcare.
Chris Wallace:,11:08,9/29/20,11,8,0:11:08,0:09:48,0:09:48,"If I may ask my question, sir."
Vice President ...:,11:11,9/29/20,11,11,0:11:11,0:09:51,0:09:51,Good healthcare.
Chris Wallace:,11:11,9/29/20,11,11,0:11:11,0:09:51,0:09:51,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare."
President Donal...:,11:25,9/29/20,11,25,0:11:25,0:10:05,0:10:05,"Yes, I have. Of course, I have. The individual mandate."
Chris Wallace:,11:26,9/29/20,11,26,0:11:26,0:10:06,0:10:06,[crosstalk 00:11:26] when I finish I'm going to give an opportunity-
President Donal...:,11:28,9/29/20,11,28,0:11:28,0:10:08,0:10:08,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare."
Chris Wallace:,11:31,9/29/20,11,31,0:11:31,0:10:11,0:10:11,That's not a comprehensive place.
President Donal...:,11:32,9/29/20,11,32,0:11:32,0:10:12,0:10:12,That is absolutely a big thing. That was the worst part of Obamacare.
Chris Wallace:,11:35,9/29/20,11,35,0:11:35,0:10:15,0:10:15,"I didn't ask, sir."
President Donal...:,11:36,9/29/20,11,36,0:11:36,0:10:16,0:10:16,"Chris, that was the worst part of Obamacare."
Chris Wallace:,11:38,9/29/20,11,38,0:11:38,0:10:18,0:10:18,You're debating him not me. Let me ask my question.
President Donal...:,11:38,9/29/20,11,38,0:11:38,0:10:18,0:10:18,"Well, I'll ask Joe. The individual mandate was the most unpopular aspect of Obamacare."
Chris Wallace:,11:44,9/29/20,11,44,0:11:44,0:10:24,0:10:24,Mr. President.
President Donal...:,11:44,9/29/20,11,44,0:11:44,0:10:24,0:10:24,I got rid of it. And we will protect people.
Chris Wallace:,11:46,9/29/20,11,46,0:11:46,0:10:26,0:10:26,"Mr. President, I'm the moderator of this debate and I would like you to let me ask my question and then you can answer."
President Donal...:,11:52,9/29/20,11,52,0:11:52,0:10:32,0:10:32,Go ahead.
Chris Wallace:,11:53,9/29/20,11,53,0:11:53,0:10:33,0:10:33,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?"
President Donal...:,12:16,9/29/20,12,16,0:12:16,0:10:56,0:10:56,"Well, first of all, I guess I'm debating you, not him, but that's okay. I'm not surprised. Let me just tell you something. There's nothing symbolic. I'm cutting drug prices. I'm going with Favored Nations, which no President has the courage to do because you're going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn't do it. Nobody's done it. So we're cutting healthcare."
Chris Wallace:,12:40,9/29/20,12,40,0:12:40,0:11:20,0:11:20,What about pre-existing conditions?
President Donal...:,12:40,9/29/20,12,40,0:12:40,0:11:20,0:11:20,All of the things that we've done.
Vice President ...:,12:41,9/29/20,12,41,0:12:41,0:11:21,0:11:21,He has not done healthcare.
President Donal...:,12:42,9/29/20,12,42,0:12:42,0:11:22,0:11:22,"I'll give you an example. Insulin, it was destroying families, destroying people, the cost. I'm getting it for so cheap it's like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we're doing. Prescription drug prices, we're going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do."
Chris Wallace:,13:03,9/29/20,13,3,0:13:03,0:11:43,0:11:43,"Okay, like I say, this is open discussion."
President Donal...:,13:04,9/29/20,13,4,0:13:04,0:11:44,0:11:44,This is big stuff.
Chris Wallace:,13:06,9/29/20,13,6,0:13:06,0:11:46,0:11:46,"Sir, you'll be happy. I'm about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare."
Vice President ...:,13:17,9/29/20,13,17,0:13:17,0:11:57,0:11:57,Yes.
Chris Wallace:,13:17,9/29/20,13,17,0:13:17,0:11:57,0:11:57,And the argument that he makes and other Republicans make is that that is going to end private insurance.
Vice President ...:,13:23,9/29/20,13,23,0:13:23,0:12:03,0:12:03,It is not.
Chris Wallace:,13:25,9/29/20,13,25,0:13:25,0:12:05,0:12:05,If I start asking the question.
President Donal...:,13:26,9/29/20,13,26,0:13:26,0:12:06,0:12:06,"That's not what your party says, by the way."
Chris Wallace:,13:29,9/29/20,13,29,0:13:29,0:12:09,0:12:09,And it will end private insurance and create a government takeover of health.
Vice President ...:,13:32,9/29/20,13,32,0:13:32,0:12:12,0:12:12,"It does not. It's only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two."
President Donal...:,13:57,9/29/20,13,57,0:13:57,0:12:37,0:12:37,"Joe, you agreed with Bernie Sanders, who's far left, on the manifesto, we call it. And that gives you socialized medicine."
Vice President ...:,14:04,9/29/20,14,4,0:14:04,0:12:44,0:12:44,"Look, hey."
President Donal...:,14:05,9/29/20,14,5,0:14:05,0:12:45,0:12:45,Are you saying you didn't agree?
Vice President ...:,14:06,9/29/20,14,6,0:14:06,0:12:46,0:12:46,I'm not going to listen to him. The fact of the matter is I beat Bernie Sanders.
President Donal...:,14:10,9/29/20,14,10,0:14:10,0:12:50,0:12:50,Not by much.
Vice President ...:,14:10,9/29/20,14,10,0:14:10,0:12:50,0:12:50,I beat him by a whole hell of a lot.
President Donal...:,14:12,9/29/20,14,12,0:14:12,0:12:52,0:12:52,Not by much.
Vice President ...:,14:12,9/29/20,14,12,0:14:12,0:12:52,0:12:52,"I'm here standing facing you, old buddy."
President Donal...:,14:14,9/29/20,14,14,0:14:14,0:12:54,0:12:54,If Pocahontas would have left two days early you would have lost every primary.
Vice President ...:,14:17,9/29/20,14,17,0:14:17,0:12:57,0:12:57,All he knows how to do-
President Donal...:,14:18,9/29/20,14,18,0:14:18,0:12:58,0:12:58,"On Super Tuesday, you got very lucky."
Vice President ...:,14:21,9/29/20,14,21,0:14:21,0:13:01,0:13:01,Look he's the deal. I got very lucky. I'm going to get very lucky tonight as well.
President Donal...:,14:23,9/29/20,14,23,0:14:23,0:13:03,0:13:03,With what?
Vice President ...:,14:23,9/29/20,14,23,0:14:23,0:13:03,0:13:03,And tonight I'm going to make sure.
President Donal...:,14:25,9/29/20,14,25,0:14:25,0:13:05,0:13:05,With what?
Vice President ...:,14:25,9/29/20,14,25,0:14:25,0:13:05,0:13:05,"Because here's the deal, here's the deal. The fact is that everything he's saying so far is simply a lie. I'm not here to call out his lies. Everybody knows he's a liar."
President Donal...:,14:34,9/29/20,14,34,0:14:34,0:13:14,0:13:14,"But you agree. Joe, you're the liar. You graduated last in your class not first in your class."
Vice President ...:,14:41,9/29/20,14,41,0:14:41,0:13:21,0:13:21,"God, I want to make sure-"
Chris Wallace:,14:43,9/29/20,14,43,0:14:43,0:13:23,0:13:23,"Mr. President, can you let him finish, sir?"
Vice President ...:,14:44,9/29/20,14,44,0:14:44,0:13:24,0:13:24,"No, he doesn't know how to do that."
President Donal...:,14:46,9/29/20,14,46,0:14:46,0:13:26,0:13:26,"You'd be surprised. You'd be surprised. Go ahead, Joe."
Vice President ...:,14:47,9/29/20,14,47,0:14:47,0:13:27,0:13:27,"The wrong guy, the wrong night, at the wrong time."
President Donal...:,14:51,9/29/20,14,51,0:14:51,0:13:31,0:13:31,"Listen, you agreed with Bernie Sanders and the manifesto."
Vice President ...:,14:55,9/29/20,14,55,0:14:55,0:13:35,0:13:35,"There is no manifesto, number one."
Chris Wallace:,14:57,9/29/20,14,57,0:14:57,0:13:37,0:13:37,"Please let him speak, Mr. President."
Vice President ...:,14:58,9/29/20,14,58,0:14:58,0:13:38,0:13:38,Number two.
President Donal...:,14:58,9/29/20,14,58,0:14:58,0:13:38,0:13:38,He just lost the left.
Vice President ...:,14:59,9/29/20,14,59,0:14:59,0:13:39,0:13:39,Number two.
President Donal...:,15:01,9/29/20,15,1,0:15:01,0:13:41,0:13:41,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine."
Chris Wallace:,15:13,9/29/20,15,13,0:15:13,0:13:53,0:13:53,Mr. President.
Vice President ...:,15:14,9/29/20,15,14,0:15:14,0:13:54,0:13:54,"I'll tell you what, he is not for any help for people needing healthcare."
President Donal...:,15:20,9/29/20,15,20,0:15:20,0:14:00,0:14:00,"Who is, Bernie?"
Vice President ...:,15:21,9/29/20,15,21,0:15:21,0:14:01,0:14:01,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won't ever look you in the eye and say that's what he wants to do. Take it away."
President Donal...:,15:41,9/29/20,15,41,0:15:41,0:14:21,0:14:21,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good."
Vice President ...:,15:45,9/29/20,15,45,0:15:45,0:14:25,0:14:25,He doesn't know how. He doesn't know how to do that.
President Donal...:,15:46,9/29/20,15,46,0:15:46,0:14:26,0:14:26,I've already fixed it.
Vice President ...:,15:47,9/29/20,15,47,0:15:47,0:14:27,0:14:27,He has never offered a plan.
President Donal...:,15:49,9/29/20,15,49,0:15:49,0:14:29,0:14:29,"We've already fixed it to an extent. Obamacare, as you might know but probably don't, Obamacare is no good."
Chris Wallace:,15:54,9/29/20,15,54,0:15:54,0:14:34,0:14:34,"Gentlemen, you realize if you're both speaking at the same time. Let the President. Go ahead, sir."
President Donal...:,15:59,9/29/20,15,59,0:15:59,0:14:39,0:14:39,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed ... They shouldn't even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they'll probably blame him, but they'll blame me. But more importantly, I want to help people. Okay. I said, ""You've got to run it so well."" And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it's a disaster. It's too expensive. Premiums are too high, that it doesn't work. So we do want to get rid of it. Chris, we want to get rid of that and give something that's cheaper and better."
Chris Wallace:,16:42,9/29/20,16,42,0:16:42,0:15:22,0:15:22,"I understand that, sir. But I have to give you roughly equal time."
President Donal...:,16:45,9/29/20,16,45,0:16:45,0:15:25,0:15:25,Go ahead.
Chris Wallace:,16:45,9/29/20,16,45,0:16:45,0:15:25,0:15:25,"Please let the Vice President talk, sir."
President Donal...:,16:47,9/29/20,16,47,0:16:47,0:15:27,0:15:27,Good.
Vice President ...:,16:48,9/29/20,16,48,0:16:48,0:15:28,0:15:28,He has no plan for healthcare.
President Donal...:,16:50,9/29/20,16,50,0:16:50,0:15:30,0:15:30,"Of course, we do."
Chris Wallace:,16:52,9/29/20,16,52,0:16:52,0:15:32,0:15:32,Please.
Vice President ...:,16:52,9/29/20,16,52,0:16:52,0:15:32,0:15:32,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn't lowered drug costs for anybody. He's been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn't have a plan. And the fact is this man doesn't know what he's talking about. [crosstalk 00:17:14]."
Chris Wallace:,17:13,9/29/20,17,13,0:17:13,0:15:53,0:15:53,"All right, I have one final question for you."
Vice President ...:,17:15,9/29/20,17,15,0:17:15,0:15:55,0:15:55,Sure.
Chris Wallace:,17:16,9/29/20,17,16,0:17:16,0:15:56,0:15:56,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn't brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?"
Vice President ...:,17:55,9/29/20,17,55,0:17:55,0:16:35,0:16:35,"Whatever position I take on that, that'll become the issue. The issue is the American people should speak. You should go out and vote. You're voting now. Vote and let your Senators know strongly how you feel."
President Donal...:,18:05,9/29/20,18,5,0:18:05,0:16:45,0:16:45,Are you going to pack the court?
Vice President ...:,18:07,9/29/20,18,7,0:18:07,0:16:47,0:16:47,Vote now.
President Donal...:,18:08,9/29/20,18,8,0:18:08,0:16:48,0:16:48,Are you going to pack the court?
Vice President ...:,18:09,9/29/20,18,9,0:18:09,0:16:49,0:16:49,"Make sure you, in fact, let people know, your Senators."
President Donal...:,18:12,9/29/20,18,12,0:18:12,0:16:52,0:16:52,He doesn't want to answer the question.
Vice President ...:,18:17,9/29/20,18,17,0:18:17,0:16:57,0:16:57,I'm not going to answer the question.
President Donal...:,18:18,9/29/20,18,18,0:18:18,0:16:58,0:16:58,Why wouldn't you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.
Vice President ...:,18:18,9/29/20,18,18,0:18:18,0:16:58,0:16:58,"Will you shut up, man?"
President Donal...:,18:20,9/29/20,18,20,0:18:20,0:17:00,0:17:00,"Listen, who is on your list, Joe? Who's on your list?"
Chris Wallace:,18:23,9/29/20,18,23,0:18:23,0:17:03,0:17:03,"Gentlemen, I think we've ended this-"
Vice President ...:,18:25,9/29/20,18,25,0:18:25,0:17:05,0:17:05,This is so un-Presidential.
President Donal...:,18:25,9/29/20,18,25,0:18:25,0:17:05,0:17:05,He's going to pack the court. He is not going to give a list.
Chris Wallace:,18:27,9/29/20,18,27,0:18:27,0:17:07,0:17:07,We have ended the segment. We're going to move on to the second segment.
Vice President ...:,18:30,9/29/20,18,30,0:18:30,0:17:10,0:17:10,"That was really a productive segment, wasn't it? Keep yapping, man."
President Donal...:,18:35,9/29/20,18,35,0:18:35,0:17:15,0:17:15,"The people understand, Joe."
Vice President ...:,18:37,9/29/20,18,37,0:18:37,0:17:17,0:17:17,They sure do.
President Donal...:,18:37,9/29/20,18,37,0:18:37,0:17:17,0:17:17,"47 years, you've done nothing. They're understand."
Chris Wallace:,18:40,9/29/20,18,40,0:18:40,0:17:20,0:17:20,"All right, the second subject is COVID-19, which is an awfully serious subject. So let's try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted."
Vice President ...:,19:33,9/29/20,19,33,0:19:33,0:18:13,0:18:13,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world's population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, ""It is what it is."" Well, it is what it is because you are who you are. That's why it is. The President has no plan. He hasn't laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He's on tape as acknowledging he knew it. He said he didn't tell us or give people a warning of it because he didn't want to panic the American people. You don't panic. He panicked. In addition to that, what did he do?"
Vice President ...:,20:30,9/29/20,20,30,0:20:30,0:19:10,0:19:10,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.
President Donal...:,20:43,9/29/20,20,43,0:20:43,0:19:23,0:19:23,Wrong.
Vice President ...:,20:43,9/29/20,20,43,0:20:43,0:19:23,0:19:23,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn't have a plan.
President Donal...:,20:57,9/29/20,20,57,0:20:57,0:19:37,0:19:37,Wrong.
Chris Wallace:,20:57,9/29/20,20,57,0:20:57,0:19:37,0:19:37,"Sir, it's his two minutes."
President Donal...:,20:57,9/29/20,20,57,0:20:57,0:19:37,0:19:37,It's so wrong.
Vice President ...:,20:57,9/29/20,20,57,0:20:57,0:19:37,0:19:37,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives."
President Donal...:,21:30,9/29/20,21,30,0:21:30,0:20:10,0:20:10,"So, if we would have listened to you."
Chris Wallace:,21:31,9/29/20,21,31,0:21:31,0:20:11,0:20:11,"Wait, wait. You have two minutes, sir."
President Donal...:,21:31,9/29/20,21,31,0:21:31,0:20:11,0:20:11,"If we would've listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It's China's fault. It should have never happened. They stopped it from going in, but it was China's fault. And, by the way, when you talk about numbers, you don't know how many people died in China. You don't know how many people died in Russia. You don't know how many people died in India. They don't exactly give you a straight count, just so you understand. But if you look at what we've done, I closed it and you said, ""He's xenophobic. He's a racist and he's xenophobic,"" because you didn't think I should have closed our country. Wait a minute."
Chris Wallace:,22:06,9/29/20,22,6,0:22:06,0:20:46,0:20:46,"Sir, it's his two minutes."
